Account,Sales_Agent,Deal_Stage,Product,Created_On
Sunnamplex,Donn Cantrell,Won,GTXBasic,4/24/2017
,James Ascencio,In_Progress,GTXPro,6/15/2017
,Vicki Laflamme,Lost,GTXBasic,5/19/2017
Silis,Niesha Huffines,Won,GTXBasic,3/21/2017
Silis,Kami Bicknell,Won,MGRPFU,5/15/2017
Groovestreet,Versie Hillebrand,Won,MGRPFS,4/16/2017
Donware,Kami Bicknell,Won,GTXPlusBasic,11/11/2017
Wonka Industries,Kary Hendrixson,Won,GTXBasic,6/30/2017
,Kary Hendrixson,Lost,GTXPlusPro,4/24/2017
,Kami Bicknell,Lost,GTXBasic,7/25/2017
Faxquote,Anna Snelling,Won,MGRPFU,7/21/2017
Zathunicon,Kary Hendrixson,Won,GTXPlusPro,8/11/2017
,Vicki Laflamme,In_Progress,MGRPFS,11/11/2017
Stanredtax,Kary Hendrixson,Won,GTXPro,1/31/2017
Cheers,James Ascencio,Won,GTXPlusBasic,4/26/2017
,Darcel Schlecht,In_Progress,GTXPlusPro,10/17/2017
Good Burger,James Ascencio,Won,GTXPlusPro,12/12/2017
Lexiqvolax,Marty Freudenburg,Won,GTXPlusBasic,4/15/2017
Nam-zim,Lajuana Vencill,Won,MGRPFU,3/25/2017
Ron-tech,Reed Clapper,Won,GTXBasic,12/21/2017
Finhigh,Anna Snelling,Won,MGRPFS,4/10/2017
Sonron,Elease Gluck,In_Progress,MGRPFS,12/12/2017
Domzoom,Rosie Papadopoulos,In_Progress,GTXPlusBasic,12/12/2017
,Zane Levy,Lost,GTXPlusBasic,8/8/2017
,Lajuana Vencill,In_Progress,MGRPFU,7/15/2017
Gogozoom,Elease Gluck,Won,MGRPFS,5/6/2017
Scotfind,Versie Hillebrand,Won,MGRPFS,9/28/2017
,Donn Cantrell,Lost,GTXPlusBasic,2/24/2017
Ganjaflex,Niesha Huffines,Won,MGRPFS,8/15/2017
,Darcel Schlecht,Lost,GTXBasic,7/25/2017
,Jonathan Berthelot,In_Progress,GTXBasic,11/1/2017
Opentech,Reed Clapper,Won,GTXPro,9/16/2017
,Zane Levy,Lost,GTXPro,12/1/2017
Stanredtax,Kami Bicknell,Won,GTXPlusPro,8/2/2017
,Zane Levy,In_Progress,GTXPlusPro,7/10/2017
Bubba Gump,Jonathan Berthelot,In_Progress,GTXBasic,2/5/2017
,Rosalina Dieter,In_Progress,GTXPro,8/25/2017
,Rosalina Dieter,Lost,GTXBasic,9/20/2017
,Cecily Lampkin,In_Progress,MGRPFU,8/2/2017
Sunnamplex,Reed Clapper,Won,MGRPFU,2/16/2017
Silis,Marty Freudenburg,Won,MGRPFS,7/30/2017
Inity,Gladys Colclough,Won,GTXPlusBasic,4/16/2017
,Daniell Hammack,In_Progress,MGRPFS,11/11/2017
,Moses Frase,In_Progress,GTXPlusBasic,11/28/2017
,Kary Hendrixson,Lost,GTXPlusBasic,8/1/2017
,Gladys Colclough,In_Progress,GTXPlusPro,7/16/2017
